death,name,role
1977,周筱芳,淮剧小生
1978,黄桂秋,京剧旦角
1980,白凤鸣,京韵大鼓演员
1981,孙盛文,京剧净角
1989,席宝昆,评剧小生
1989,姚世茹,京剧武生
1990,李润杰,快板书创始人
1990,俞平伯,昆曲研究者
1991,孟丽君,京剧旦角
1992,王连平,京剧教师
1994,郑亦秋,京剧老生
1994,洪雪飞,昆曲演员
1994,马盛龙,京剧老生
1999,郭明霞,秦腔旦角
2000,周正荣,京剧老生
2001,高蕙兰,京剧小生
2001,李世琦,京剧老生
2001,王世臣,相声演员
2001,刘文亨,相声演员
2001,谢国祥,京剧组织工作者
2003,孙荣蕙,京剧旦角
2004,袁玉堃,川剧小生
2004,姚慕双,滑稽戏演员
2004,刘玉麟,京剧小生
2005,梅绍武,戏曲研究者
2005,张子平,京剧活动家
2006,杨秋雯,京剧旦角
2006,关学曾,北京琴书演员
2006,李少岩,评剧小生
2006,范元濂,京剧丑角
2006,姚月芝,山东梆子旦角
2006,李永玲,四川谐剧演员
2006,贾有福,小锣书演员
2006,温尚全,桂剧文武老生
2007,张伯扬,单弦演员
2008,新艳秋,京剧旦角
2008,赵连升,相声演员
2008,刘洪滨,山东快书演员
2009,李金声,京剧红生
2009,乔凤楼,京韵大鼓演员
2009,李韵章,京剧生角
2009,张玉禅,京剧武生
2010,郭玉昆,京剧武生
2010,倪传钺,昆曲演员
2010,于鸣奎,京剧净角
2011,张红霞,评书演员
2011,汤乃秋,苏州评弹弹词演员
2012,陈佩卿,越剧小生
2012,刘茂发,京剧武场乐师
2012,张永远,京剧小生
2012,江涛,越剧小生
2012,海连池,河南曲剧花脸
2012,尹良俗,秦腔小生
2013,李福安,评剧生角
2013,熊剑啸,楚剧丑角
2013,林锦堂,粤剧文武生
2013,筱文艳,淮剧旦角
2013,徐艳琴,豫剧旦角
2013,叶惠农,昆曲度曲家
2014,蒋锡武,京剧剧作者
2014,吕香君,京剧旦角
2014,李薇华,京剧旦角
2014,曹韵清,京剧老生
2014,张少楼,京剧老生
2015,谢宠,陇剧剧作者
2015,常贵德,相声演员
2015,黄正勤,京剧小生
2016,潘月红,京剧老生
2016,王盘声,沪剧老生
2016,王振芳,绍剧老生
2016,徐笑灵,滑稽戏演员
2016,李彦生,相声演员
2016,冯玉增,京剧丑角
1900,陆昌立,京剧琴师
1917,贾洪林,京剧老生
1918,汪笑侬,京剧老生
1920,石韫玉,京剧青衣
