born,name,role
1982,王声,相声演员
1790,刘天桂,昆曲鼓师
1815,杨明玉,昆曲丑角
1840,徐阿二,昆曲小生
1846,时小福,京剧青衣
1850,范福泰,京剧武净
1851,李艳侬,京剧青衣
1857,尉迟喜儿,京剧老生
1857,周琴芳,昆曲旦角
1857,徐如云,京剧青衣
1862,陈德霖,京剧青衣
1862,龚云甫,京剧老旦
1872,贯紫林,京剧武旦
1872,朱素云,京剧小生
1882,荣剑尘,单弦八角鼓演员
1894,梅兰芳,京剧旦角
1898,王连平,京剧教师
1900,萧连芳,京剧小生
1902,方连元,京剧武旦
1908,唐远凡,越剧编剧
1912,李斌植,京剧武场乐师
1913,哈宝山,京剧老生
1914,刘曾复,京剧史论研究者
1915,言少朋,京剧老生
1916,史行,越剧编导
1917,曹世嘉,京剧老生
1919,李少春,京剧武生
1919,笑嘻嘻,滑稽戏演员
1920,张君秋,京剧旦角
1920,陈四文,潮汕讲古演员
1921,马樟花,越剧小生
1922,张桂凤,越剧老生
1923,小岚云,京韵大鼓演员
1923,李继宗,评剧小生
1924,王元纲,京剧武生
1924,彭子富,曲艺演员
1926,张小巧,越剧丑角
1926,崔兰田,豫剧旦角
1927,王景明,评剧丑角
1928,杜元田,京剧老生
1929,顾正秋,京剧旦角
1929,张玉林,八角鼓票友
1936,谢光宁,越剧编剧
1936,郑培英,粤剧旦角
1937,陈育明,琼剧小生
1938,张文顺,相声演员
1938,冯志孝,京剧老生
1939,汪玉祥,京剧丑角
1939,朱文相,戏曲理论家
1940,李玉声,京剧生角
1940,汪芝琳,京剧老生
1941,金幼实,相声演员
1944,李朝贵,京剧鼓师
1944,杨丽花,歌仔戏小生
1946,奚培民,京剧丑角
1952,王海玲,豫剧旦角
1962,王景旗,秦腔小生
1963,张文鹏,评剧老生
1967,刘增锴,相声演员
1970,王延庆,京剧票友
1811,程长庚,京剧老生
1835,罗巧福,京剧青衣
1838,钱宝峰,京剧净角
1845,陈鸿福,昆曲旦角
1849,郑秀兰,京剧青衣
1851,王顺福,京剧青衣
1852,许荫棠,京剧老生
1854,侯峻山,山西梆子
1855,王湘云,昆曲旦角
1857,夏鸿福,京剧老生
1857,董度云,昆曲旦角
1858,陈桂宝,京剧武生
1859,罗寿山,京剧丑角
1882,许德义,京剧武净
1888,盖叫天,京剧武生
1890,余叔岩,京剧老生
1891,刘砚亭,京剧武净
1894,张春彦,京剧老生
1898,李多奎,京剧老旦
1901,周麟阁,梅花大鼓票友
1902,茹富兰,京剧文武小生
1903,沈富贵,京剧武生
1906,庄一拂,昆曲度曲家
1908,李宝櫆,京剧生角
1910,曹宝禄,单弦八角鼓演员
1910,孙盛文,京剧净角
1911,曹艺斌,京剧文武老生
1913,严雪亭,苏州评弹弹词演员
1913,高秀英,扬剧旦角
1913,费文治,京剧琴师
1914,李德山,京剧琴师
1914,叶盛兰,京剧小生
1916,喜彩莲,评剧旦角
1916,宋宝罗,京剧老生
1917,邢湘麟,越剧老生
1917,侯宝林,相声演员
1917,蒋月泉,苏州弹词演员
1919,王金璐,京剧武生
1919,尹桂芳,越剧小生
1920,程玉英,晋剧青衣
1920,秋楚笙,京剧演员
1921,马聚泉,曲艺演员
1921,筱樊春楼,京剧老生
1923,徐进,越剧编剧
1927,魏龙豪,相声演员
1927,黄正勤,京剧小生
1928,尚长春,京剧武生
1929,李麟童,京剧老生
1929,筱麟童,越剧丑角
1930,刘桂荣,山东梆子旦角
1930,夏邦琦,京剧票友
1930,魏振山,京剧票友
1931,丛兆桓,昆曲导演
1934,王学义,曲艺演员
1935,单田芳,评书演员
1937,詹剑峰,闽剧小生
1939,徐露,京剧旦角
1941,林懋荣,京剧小生
1942,陈光忠,川剧丑角
1944,赵学义,京韵大鼓演员
1945,林惠心,评剧旦角
1946,冯远江,京剧小生
1946,林雅雯,京剧老旦
1947,钱启明,京剧琴师
1949,高美芬,京剧活动家
1949,张常泰,相声演员
1953,唐元才,京剧净角
1961,赵建华,京剧琴师
1961,李军,京剧老生
1962,刘文亮,歌仔戏音乐创作者
1966,王志萍,越剧花旦
1968,李冬杰,京剧丑角
1972,陈长庆,京剧净角
1975,李国静,京剧旦角
1984,刘搏,京剧武丑
1985,徐思佳,昆曲旦角
1827,胡喜禄,京剧青衣
1858,周素芳,昆曲小生
1858,顾芷孙,昆曲小生
1858,王长林,京剧丑角
1861,仲瑞生,昆曲旦角
1878,萧长华,京剧丑角
1878,杨小楼,京剧武生
1885,张荣奎,京剧老生
1890,言菊朋,京剧老生
1893,封至模,秦腔剧作家
1901,黄海岱,台湾布袋戏艺师
1903,唐韵笙,京剧生角
1903,钱富川,京剧武生
1904,程砚秋,京剧旦角
1904,方富元,京剧琴师
1905,焦菊隐,京剧教师
1907,白登云,京剧鼓师
1907,孟小冬,京剧老生
1908,倪传钺,昆曲演员
1910,奚啸伯,京剧老生
1910,魏莲芳,京剧旦角
1911,王少楼,京剧老生
1912,马连贵,京剧大锣
1915,麦炳荣,粤剧小生
1915,高盛麟,京剧武生
1916,高少亭,京剧老生
1918,宋德珠,京剧武旦
1918,周和桐,京剧净角
1920,鲜灵霞,评剧旦角
1921,筱俊亭,评剧旦角
1921,黄金璧,京剧武生
1921,诸世芬,京剧小生
1921,徐玉兰,越剧小生
1922,周柏春,滑稽戏演员
1922,李志良,京剧琴师
1924,张春华,京剧武丑
1926,杨荣斌,京剧老生
1926,李荣威,京剧净角
1926,姚澄,锡剧旦角
1928,汪正华,京剧老生
1932,王荣增,京剧老生
1934,李韵章,京剧生角
1935,郭仲英,京剧旦角
1938,傅锦华,彩调旦角
1939,侯少奎,昆曲演员
1940,张宝英,豫剧旦角
1941,巫明霞,歌仔戏小生
1947,张达发,京剧净角
1956,张成全,相声
1958,孙翠凤,歌仔戏小生
1961,于魁智,京剧老生
1962,张玫,京剧票友
1964,谢群英,越剧花旦
