records	Author	journal	year	type	NCR
539	Gao Fei	PLOS ONE	2017	Article	28
539	Chen, Bo	PLOS ONE	2017	Article	28
539	Jiao, Juan	PLOS ONE	2017	Article	28
539	Jia, Lijia	PLOS ONE	2017	Article	28
539	Liu, Cuimin	PLOS ONE	2017	Article	28
540	Liang Zhen	NATURE COMMUNICATIONS	2017	Article	15
540	Chen, Kunling	NATURE COMMUNICATIONS	2017	Article	15
540	Li, Tingdong	NATURE COMMUNICATIONS	2017	Article	15
540	Zhang, Yi	NATURE COMMUNICATIONS	2017	Article	15
540	Wang, Yanpeng	NATURE COMMUNICATIONS	2017	Article	15
540	Zhao, Qian	NATURE COMMUNICATIONS	2017	Article	15
540	Liu, Jinxing	NATURE COMMUNICATIONS	2017	Article	15
