Author,year,Number,meanIF,medianIF,sdIF
Hu-Chunsheng,2013,3,3.74366666666667,4.152,0.707254079757292
Hu-Chunsheng,2014,3,4.73433333333333,4.658,0.624011484937043
Hu-Chunsheng,2015,2,3.585,3.585,1.23885108063883
Hu-Chunsheng,2016,3,3.36466666666667,3.344,0.189845551260316
Hu-Zan-Min,2010,4,3.985,4.2075,2.31656138849517
Hu-Zan-Min,2011,2,1.8635,1.8635,0.717713382904346
Hu-Zan-Min,2012,3,4.17366666666667,3.981,1.90631616825052
Hu-Zan-Min,2013,2,2.714,2.714,0.485075251893972
Hu-Zan-Min,2014,3,2.07833333333333,2.304,1.2884084497291
Hu-Zan-Min,2016,1,1.684,1.684,NA
Hu-Zanmin,2010,1,3.905,3.905,NA
Hu-Zanmin,2011,1,3.057,3.057,NA
Hu-Zanmin,2012,1,3.057,3.057,NA
Hu-Zanmin,2013,3,4.107,3.587,1.38524366087703
Hu-Zanmin,2014,4,3.71725,3.5345,2.37346966485776
Hu-Zanmin,2015,2,3.915,3.915,3.34461507501237
Hu-Zanmin,2016,5,4.1262,3.867,1.69320456531395
Hu-Zanmin,2017,2,3.435,3.435,0.277185858225127
Huang-Xiahe,2011,2,6.398,6.398,3.02641702347842
Huang-Xiahe,2012,2,5.0485,5.0485,1.74160400206247
Huang-Xiahe,2014,3,10.119,7.142,6.25184908647034
Huang-Xiahe,2015,5,5.5534,5.912,0.851325319722138
Huang-Xiahe,2016,4,9.78075,8.2785,6.77328656684971
Huang-Xiahe,2017,3,7.161,7.142,1.11162178819957
Huang-Xun,2010,4,5.465,6.022,1.56947464671038
Huang-Xun,2011,6,9.6765,6.323,10.8454967198372
Huang-Xun,2012,5,5.5484,4.706,2.39161980674187
Huang-Xun,2013,2,4.3925,4.3925,3.20814346624337
Huang-Xun,2014,4,7.9815,5.321,6.3414531194882
Huang-Xun,2015,1,6.059,6.059,NA
Huang-Xun,2016,3,7.863,7.87,3.49150526277707
Li-Bin,2010,5,3.0068,3.057,0.890173129228242
Li-Bin,2011,2,3.86,3.86,4.73761543394987
Li-Bin,2012,5,2.3746,2.108,0.90921548600978
Li-Bin,2013,1,5.677,5.677,NA
Li-Bin,2014,5,4.0214,3.9,0.880871613800785
Li-Bin,2015,4,5.346,5.1305,1.61497389039782
Li-Bin,2016,2,4.6045,4.6045,0.881762156139625
Li-Chuanyou,2010,2,11.675,11.675,4.4363879451644
Li-Chuanyou,2011,7,6.64428571428571,7.21,1.90391427628152
Li-Chuanyou,2012,10,7.9082,4.829,10.8982891297467
Li-Chuanyou,2013,8,7.525625,7.5995,1.38500850306828
Li-Chuanyou,2014,8,9.657875,7.409,9.08752715755423
Li-Chuanyou,2015,5,7.063,8.538,3.76462720597937
Li-Chuanyou,2016,6,8.01533333333333,7.409,3.96439350552725
Li-Jiayang,2010,7,14.3004285714286,7.142,12.3401582088338
Li-Jiayang,2011,2,5.225,5.225,2.19910208949016
Li-Jiayang,2012,5,18.7846,11.329,15.1541048333447
Li-Jiayang,2013,7,16.117,8.538,13.2815429199071
Li-Jiayang,2014,5,7.4514,8,2.40424672194848
Li-Jiayang,2015,11,11.583,9.423,7.49432944298554
Li-Jiayang,2016,10,12.9948,7.571,11.6790895935143
Li-Jiayang,2017,1,11.329,11.329,NA
Li-Ming,2010,4,5.79025,5.321,2.22524206548411
Li-Ming,2011,5,5.3812,5.468,1.38643705230349
Li-Ming,2012,7,5.14114285714286,4.706,2.08869994881756
Li-Ming,2013,2,5.2915,5.2915,1.3979501064058
Li-Ming,2015,1,2.971,2.971,NA
Li-Ming,2016,2,4.084,4.084,2.25284220486034
Li-Shihua,2012,1,3.981,3.981,NA
Li-Shihua,2013,2,7.3205,7.3205,1.97494923985403
Li-Shihua,2014,5,10.0236,9.423,4.24299909262305
Li-Shihua,2015,8,6.88925,5.985,3.17917697121216
Li-Shihua,2016,4,12.6795,8.042,10.7926030996543
Li-Shihua,2017,1,5.228,5.228,NA
Li-Wei,2010,11,5.75518181818182,2.446,8.74204080084487
